algorithm,trap_penalty,seed,success_rate,avg_reward,avg_steps,trap_rate,final_path_length,route_type
q_learning,-10.0,123,1.0,9.7,4.0,0.0,4.0,risky
q_learning,-10.0,42,1.0,9.7,4.0,0.0,4.0,risky
q_learning,-10.0,456,1.0,9.7,4.0,0.0,4.0,risky
q_learning,-30.0,123,1.0,9.7,4.0,0.0,4.0,risky
q_learning,-30.0,42,1.0,9.7,4.0,0.0,4.0,risky
q_learning,-30.0,456,1.0,9.7,4.0,0.0,4.0,risky
q_learning,-5.0,123,1.0,9.7,4.0,0.0,4.0,risky
q_learning,-5.0,42,1.0,9.7,4.0,0.0,4.0,risky
q_learning,-5.0,456,1.0,9.7,4.0,0.0,4.0,risky
sarsa,-10.0,123,1.0,9.7,4.0,0.0,4.0,risky
sarsa,-10.0,42,1.0,9.099999999999998,10.0,0.0,10.0,safe
sarsa,-10.0,456,1.0,9.7,4.0,0.0,4.0,risky
sarsa,-30.0,123,1.0,9.099999999999998,10.0,0.0,10.0,safe
sarsa,-30.0,42,1.0,9.099999999999998,10.0,0.0,10.0,safe
sarsa,-30.0,456,1.0,9.099999999999998,10.0,0.0,10.0,safe
sarsa,-5.0,123,1.0,9.7,4.0,0.0,4.0,risky
sarsa,-5.0,42,1.0,9.7,4.0,0.0,4.0,risky
sarsa,-5.0,456,1.0,9.7,4.0,0.0,4.0,risky
