run_id,exp_name,phase,episode,seed,map_name,rows,cols,alpha,gamma,epsilon,reward_setting,max_steps,total_reward,steps,success,terminated,truncated,hit_trap,elapsed_sec,qtable_path
random_policy_42_1b654477,random_policy,train,1,42,easy,5,5,0.0001,0.95,1.0,default,100,-55.0,46,0,1,0,1,0.003716899998835288,
random_policy_42_1b654477,random_policy,train,2,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007172599987825379,
random_policy_42_1b654477,random_policy,train,3,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007148100004997104,
random_policy_42_1b654477,random_policy,train,4,42,easy,5,5,0.0001,0.95,1.0,default,100,-37.0,28,0,1,0,1,0.0021661999926436692,
random_policy_42_1b654477,random_policy,train,5,42,easy,5,5,0.0001,0.95,1.0,default,100,-51.0,42,0,1,0,1,0.0030325999978231266,
random_policy_42_1b654477,random_policy,train,6,42,easy,5,5,0.0001,0.95,1.0,default,100,-46.0,37,0,1,0,1,0.0026695000124163926,
random_policy_42_1b654477,random_policy,train,7,42,easy,5,5,0.0001,0.95,1.0,default,100,-34.0,25,0,1,0,1,0.0018468999915057793,
random_policy_42_1b654477,random_policy,train,8,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007002300000749528,
random_policy_42_1b654477,random_policy,train,9,42,easy,5,5,0.0001,0.95,1.0,default,100,-81.0,72,0,1,0,1,0.005048799997894093,
random_policy_42_1b654477,random_policy,train,10,42,easy,5,5,0.0001,0.95,1.0,default,100,-29.0,40,1,1,0,0,0.002995500006363727,
random_policy_42_1b654477,random_policy,train,11,42,easy,5,5,0.0001,0.95,1.0,default,100,-14.0,5,0,1,0,1,0.00048689999675843865,
random_policy_42_1b654477,random_policy,train,12,42,easy,5,5,0.0001,0.95,1.0,default,100,-51.0,42,0,1,0,1,0.0030608000088250265,
random_policy_42_1b654477,random_policy,train,13,42,easy,5,5,0.0001,0.95,1.0,default,100,-67.0,58,0,1,0,1,0.0044061999942641705,
random_policy_42_1b654477,random_policy,train,14,42,easy,5,5,0.0001,0.95,1.0,default,100,-36.0,27,0,1,0,1,0.001979000007850118,
random_policy_42_1b654477,random_policy,train,15,42,easy,5,5,0.0001,0.95,1.0,default,100,-89.0,80,0,1,0,1,0.005701500005670823,
random_policy_42_1b654477,random_policy,train,16,42,easy,5,5,0.0001,0.95,1.0,default,100,-29.0,20,0,1,0,1,0.0015121000033104792,
random_policy_42_1b654477,random_policy,train,17,42,easy,5,5,0.0001,0.95,1.0,default,100,-97.0,88,0,1,0,1,0.006168399995658547,
random_policy_42_1b654477,random_policy,train,18,42,easy,5,5,0.0001,0.95,1.0,default,100,-35.0,26,0,1,0,1,0.0019007000082638115,
random_policy_42_1b654477,random_policy,train,19,42,easy,5,5,0.0001,0.95,1.0,default,100,-52.0,63,1,1,0,0,0.004460099997231737,
random_policy_42_1b654477,random_policy,train,20,42,easy,5,5,0.0001,0.95,1.0,default,100,-47.0,38,0,1,0,1,0.002895500001613982,
random_policy_42_1b654477,random_policy,train,21,42,easy,5,5,0.0001,0.95,1.0,default,100,-49.0,60,1,1,0,0,0.004434699992998503,
random_policy_42_1b654477,random_policy,train,22,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,91,0,1,0,1,0.006437099989852868,
random_policy_42_1b654477,random_policy,train,23,42,easy,5,5,0.0001,0.95,1.0,default,100,-27.0,18,0,1,0,1,0.0013571000017691404,
random_policy_42_1b654477,random_policy,train,24,42,easy,5,5,0.0001,0.95,1.0,default,100,-85.0,76,0,1,0,1,0.005391099999542348,
random_policy_42_1b654477,random_policy,train,25,42,easy,5,5,0.0001,0.95,1.0,default,100,-50.0,61,1,1,0,0,0.00450109998928383,
random_policy_42_1b654477,random_policy,train,26,42,easy,5,5,0.0001,0.95,1.0,default,100,-72.0,63,0,1,0,1,0.0045849000016460195,
random_policy_42_1b654477,random_policy,train,27,42,easy,5,5,0.0001,0.95,1.0,default,100,-48.0,59,1,1,0,0,0.004243499992298894,
random_policy_42_1b654477,random_policy,train,28,42,easy,5,5,0.0001,0.95,1.0,default,100,-26.0,17,0,1,0,1,0.0013565999979618937,
random_policy_42_1b654477,random_policy,train,29,42,easy,5,5,0.0001,0.95,1.0,default,100,-86.0,77,0,1,0,1,0.0054909000027691945,
random_policy_42_1b654477,random_policy,train,30,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007048899991787039,
random_policy_42_1b654477,random_policy,train,31,42,easy,5,5,0.0001,0.95,1.0,default,100,-33.0,44,1,1,0,0,0.0031618000066373497,
random_policy_42_1b654477,random_policy,train,32,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007061800002702512,
random_policy_42_1b654477,random_policy,train,33,42,easy,5,5,0.0001,0.95,1.0,default,100,-34.0,25,0,1,0,1,0.0018811999907484278,
random_policy_42_1b654477,random_policy,train,34,42,easy,5,5,0.0001,0.95,1.0,default,100,-41.0,52,1,1,0,0,0.00383069999224972,
random_policy_42_1b654477,random_policy,train,35,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.0073352000035811216,
random_policy_42_1b654477,random_policy,train,36,42,easy,5,5,0.0001,0.95,1.0,default,100,-48.0,39,0,1,0,1,0.003358200003276579,
random_policy_42_1b654477,random_policy,train,37,42,easy,5,5,0.0001,0.95,1.0,default,100,-27.0,38,1,1,0,0,0.002762300005997531,
random_policy_42_1b654477,random_policy,train,38,42,easy,5,5,0.0001,0.95,1.0,default,100,-84.0,75,0,1,0,1,0.005321799995726906,
random_policy_42_1b654477,random_policy,train,39,42,easy,5,5,0.0001,0.95,1.0,default,100,-62.0,53,0,1,0,1,0.003765500005101785,
random_policy_42_1b654477,random_policy,train,40,42,easy,5,5,0.0001,0.95,1.0,default,100,-64.0,55,0,1,0,1,0.003908999991836026,
random_policy_42_1b654477,random_policy,train,41,42,easy,5,5,0.0001,0.95,1.0,default,100,-29.0,20,0,1,0,1,0.0015715000045020133,
random_policy_42_1b654477,random_policy,train,42,42,easy,5,5,0.0001,0.95,1.0,default,100,-38.0,29,0,1,0,1,0.0021320999949239194,
random_policy_42_1b654477,random_policy,train,43,42,easy,5,5,0.0001,0.95,1.0,default,100,-38.0,29,0,1,0,1,0.0021309000003384426,
random_policy_42_1b654477,random_policy,train,44,42,easy,5,5,0.0001,0.95,1.0,default,100,-19.0,10,0,1,0,1,0.0008060999971348792,
random_policy_42_1b654477,random_policy,train,45,42,easy,5,5,0.0001,0.95,1.0,default,100,-85.0,76,0,1,0,1,0.0053936999902362,
random_policy_42_1b654477,random_policy,train,46,42,easy,5,5,0.0001,0.95,1.0,default,100,-24.0,15,0,1,0,1,0.00115640000149142,
random_policy_42_1b654477,random_policy,train,47,42,easy,5,5,0.0001,0.95,1.0,default,100,-62.0,53,0,1,0,1,0.0038575999933527783,
random_policy_42_1b654477,random_policy,train,48,42,easy,5,5,0.0001,0.95,1.0,default,100,-23.0,34,1,1,0,0,0.0024896000104490668,
random_policy_42_1b654477,random_policy,train,49,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007203399989521131,
random_policy_42_1b654477,random_policy,train,50,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007218200000352226,
random_policy_42_1b654477,random_policy,train,51,42,easy,5,5,0.0001,0.95,1.0,default,100,-37.0,28,0,1,0,1,0.002081800004816614,
random_policy_42_1b654477,random_policy,train,52,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007058999995933846,
random_policy_42_1b654477,random_policy,train,53,42,easy,5,5,0.0001,0.95,1.0,default,100,-26.0,37,1,1,0,0,0.002747199992882088,
random_policy_42_1b654477,random_policy,train,54,42,easy,5,5,0.0001,0.95,1.0,default,100,-35.0,26,0,1,0,1,0.0019255999941378832,
random_policy_42_1b654477,random_policy,train,55,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007039699994493276,
random_policy_42_1b654477,random_policy,train,56,42,easy,5,5,0.0001,0.95,1.0,default,100,-54.0,45,0,1,0,1,0.00331660000665579,
random_policy_42_1b654477,random_policy,train,57,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007199799991212785,
random_policy_42_1b654477,random_policy,train,58,42,easy,5,5,0.0001,0.95,1.0,default,100,-17.0,8,0,1,0,1,0.0006902000022819266,
random_policy_42_1b654477,random_policy,train,59,42,easy,5,5,0.0001,0.95,1.0,default,100,-25.0,16,0,1,0,1,0.0012210999993840232,
random_policy_42_1b654477,random_policy,train,60,42,easy,5,5,0.0001,0.95,1.0,default,100,-49.0,40,0,1,0,1,0.002890800009481609,
random_policy_42_1b654477,random_policy,train,61,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007216099998913705,
random_policy_42_1b654477,random_policy,train,62,42,easy,5,5,0.0001,0.95,1.0,default,100,-37.0,28,0,1,0,1,0.0020938999950885773,
random_policy_42_1b654477,random_policy,train,63,42,easy,5,5,0.0001,0.95,1.0,default,100,-72.0,83,1,1,0,0,0.005951999992248602,
random_policy_42_1b654477,random_policy,train,64,42,easy,5,5,0.0001,0.95,1.0,default,100,-90.0,81,0,1,0,1,0.005773700002464466,
random_policy_42_1b654477,random_policy,train,65,42,easy,5,5,0.0001,0.95,1.0,default,100,-84.0,75,0,1,0,1,0.00532789999851957,
random_policy_42_1b654477,random_policy,train,66,42,easy,5,5,0.0001,0.95,1.0,default,100,-71.0,62,0,1,0,1,0.004421299992827699,
random_policy_42_1b654477,random_policy,train,67,42,easy,5,5,0.0001,0.95,1.0,default,100,-46.0,57,1,1,0,0,0.004080500002601184,
random_policy_42_1b654477,random_policy,train,68,42,easy,5,5,0.0001,0.95,1.0,default,100,-38.0,49,1,1,0,0,0.0036134000110905617,
random_policy_42_1b654477,random_policy,train,69,42,easy,5,5,0.0001,0.95,1.0,default,100,-29.0,20,0,1,0,1,0.001516699994681403,
random_policy_42_1b654477,random_policy,train,70,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007123900009901263,
random_policy_42_1b654477,random_policy,train,71,42,easy,5,5,0.0001,0.95,1.0,default,100,-12.0,23,1,1,0,0,0.001736600010190159,
random_policy_42_1b654477,random_policy,train,72,42,easy,5,5,0.0001,0.95,1.0,default,100,-36.0,27,0,1,0,1,0.00198459999228362,
random_policy_42_1b654477,random_policy,train,73,42,easy,5,5,0.0001,0.95,1.0,default,100,-39.0,30,0,1,0,1,0.002272599987918511,
random_policy_42_1b654477,random_policy,train,74,42,easy,5,5,0.0001,0.95,1.0,default,100,-29.0,40,1,1,0,0,0.002902899999753572,
random_policy_42_1b654477,random_policy,train,75,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007171300007030368,
random_policy_42_1b654477,random_policy,train,76,42,easy,5,5,0.0001,0.95,1.0,default,100,-26.0,17,0,1,0,1,0.0013084999955026433,
random_policy_42_1b654477,random_policy,train,77,42,easy,5,5,0.0001,0.95,1.0,default,100,-61.0,52,0,1,0,1,0.003711700002895668,
random_policy_42_1b654477,random_policy,train,78,42,easy,5,5,0.0001,0.95,1.0,default,100,-46.0,37,0,1,0,1,0.0029067999857943505,
random_policy_42_1b654477,random_policy,train,79,42,easy,5,5,0.0001,0.95,1.0,default,100,-85.0,76,0,1,0,1,0.005653100000927225,
random_policy_42_1b654477,random_policy,train,80,42,easy,5,5,0.0001,0.95,1.0,default,100,-103.0,94,0,1,0,1,0.006837300010374747,
random_policy_42_1b654477,random_policy,train,81,42,easy,5,5,0.0001,0.95,1.0,default,100,-82.0,73,0,1,0,1,0.005584300000919029,
random_policy_42_1b654477,random_policy,train,82,42,easy,5,5,0.0001,0.95,1.0,default,100,-40.0,31,0,1,0,1,0.002471800005878322,
random_policy_42_1b654477,random_policy,train,83,42,easy,5,5,0.0001,0.95,1.0,default,100,-28.0,19,0,1,0,1,0.0015044999890960753,
random_policy_42_1b654477,random_policy,train,84,42,easy,5,5,0.0001,0.95,1.0,default,100,-35.0,46,1,1,0,0,0.0033481999998912215,
random_policy_42_1b654477,random_policy,train,85,42,easy,5,5,0.0001,0.95,1.0,default,100,-22.0,13,0,1,0,1,0.0010406999936094508,
random_policy_42_1b654477,random_policy,train,86,42,easy,5,5,0.0001,0.95,1.0,default,100,-18.0,9,0,1,0,1,0.0007367999933194369,
random_policy_42_1b654477,random_policy,train,87,42,easy,5,5,0.0001,0.95,1.0,default,100,-74.0,65,0,1,0,1,0.0046322000125655904,
random_policy_42_1b654477,random_policy,train,88,42,easy,5,5,0.0001,0.95,1.0,default,100,-23.0,14,0,1,0,1,0.0010891999991144985,
random_policy_42_1b654477,random_policy,train,89,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007066400008625351,
random_policy_42_1b654477,random_policy,train,90,42,easy,5,5,0.0001,0.95,1.0,default,100,-49.0,40,0,1,0,1,0.0029128000023774803,
random_policy_42_1b654477,random_policy,train,91,42,easy,5,5,0.0001,0.95,1.0,default,100,-24.0,15,0,1,0,1,0.0011484999995445833,
random_policy_42_1b654477,random_policy,train,92,42,easy,5,5,0.0001,0.95,1.0,default,100,-3.0,14,1,1,0,0,0.0010860999900614843,
random_policy_42_1b654477,random_policy,train,93,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007226200003060512,
random_policy_42_1b654477,random_policy,train,94,42,easy,5,5,0.0001,0.95,1.0,default,100,-48.0,39,0,1,0,1,0.0028308000037213787,
random_policy_42_1b654477,random_policy,train,95,42,easy,5,5,0.0001,0.95,1.0,default,100,-41.0,52,1,1,0,0,0.003647399993496947,
random_policy_42_1b654477,random_policy,train,96,42,easy,5,5,0.0001,0.95,1.0,default,100,-59.0,50,0,1,0,1,0.003485900000669062,
random_policy_42_1b654477,random_policy,train,97,42,easy,5,5,0.0001,0.95,1.0,default,100,-23.0,14,0,1,0,1,0.0010492000001249835,
random_policy_42_1b654477,random_policy,train,98,42,easy,5,5,0.0001,0.95,1.0,default,100,-32.0,43,1,1,0,0,0.0030064000020502135,
random_policy_42_1b654477,random_policy,train,99,42,easy,5,5,0.0001,0.95,1.0,default,100,-55.0,46,0,1,0,1,0.0032263000030070543,
random_policy_42_1b654477,random_policy,train,100,42,easy,5,5,0.0001,0.95,1.0,default,100,-43.0,34,0,1,0,1,0.002405499995802529,
random_policy_42_1b654477,random_policy,train,101,42,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.00699460000032559,
