run_id,exp_name,phase,episode,seed,map_name,rows,cols,alpha,gamma,epsilon,reward_setting,max_steps,total_reward,steps,success,terminated,truncated,hit_trap,elapsed_sec,qtable_path
alpha_0.1_123_8499c601,alpha_0.1,train,1,123,easy,5,5,0.1,0.95,0.199,default,100,-28.0,39,1,1,0,0,0.004820800000743475,
alpha_0.1_123_8499c601,alpha_0.1,train,2,123,easy,5,5,0.1,0.95,0.19800500000000001,default,100,-37.0,28,0,1,0,1,0.003360800001246389,
alpha_0.1_123_8499c601,alpha_0.1,train,3,123,easy,5,5,0.1,0.95,0.197014975,default,100,-18.0,29,1,1,0,0,0.002786799999739742,
alpha_0.1_123_8499c601,alpha_0.1,train,4,123,easy,5,5,0.1,0.95,0.19602990012500002,default,100,-38.0,29,0,1,0,1,0.0033622000009927433,
alpha_0.1_123_8499c601,alpha_0.1,train,5,123,easy,5,5,0.1,0.95,0.19504975062437502,default,100,-72.0,83,1,1,0,0,0.01013769999917713,
alpha_0.1_123_8499c601,alpha_0.1,train,6,123,easy,5,5,0.1,0.95,0.19407450187125314,default,100,-19.0,10,0,1,0,1,0.0014012999999977183,
alpha_0.1_123_8499c601,alpha_0.1,train,7,123,easy,5,5,0.1,0.95,0.19310412936189686,default,100,-34.0,25,0,1,0,1,0.005611900000076275,
alpha_0.1_123_8499c601,alpha_0.1,train,8,123,easy,5,5,0.1,0.95,0.19213860871508737,default,100,-58.0,49,0,1,0,1,0.006943799999135081,
alpha_0.1_123_8499c601,alpha_0.1,train,9,123,easy,5,5,0.1,0.95,0.19117791567151193,default,100,-24.0,35,1,1,0,0,0.005104799998662202,
alpha_0.1_123_8499c601,alpha_0.1,train,10,123,easy,5,5,0.1,0.95,0.19022202609315436,default,100,-100.0,100,0,0,1,0,0.01635800000076415,
alpha_0.1_123_8499c601,alpha_0.1,train,11,123,easy,5,5,0.1,0.95,0.18927091596268858,default,100,-23.0,34,1,1,0,0,0.00451739999698475,
alpha_0.1_123_8499c601,alpha_0.1,train,12,123,easy,5,5,0.1,0.95,0.18832456138287512,default,100,-11.0,22,1,1,0,0,0.003412199999729637,
alpha_0.1_123_8499c601,alpha_0.1,train,13,123,easy,5,5,0.1,0.95,0.18738293857596075,default,100,-4.0,15,1,1,0,0,0.0016299000017170329,
alpha_0.1_123_8499c601,alpha_0.1,train,14,123,easy,5,5,0.1,0.95,0.18644602388308096,default,100,-56.0,67,1,1,0,0,0.0062090000028547365,
alpha_0.1_123_8499c601,alpha_0.1,train,15,123,easy,5,5,0.1,0.95,0.18551379376366556,default,100,-55.0,66,1,1,0,0,0.009568299999955343,
alpha_0.1_123_8499c601,alpha_0.1,train,16,123,easy,5,5,0.1,0.95,0.18458622479484724,default,100,-41.0,32,0,1,0,1,0.0034677000003284775,
alpha_0.1_123_8499c601,alpha_0.1,train,17,123,easy,5,5,0.1,0.95,0.183663293670873,default,100,-18.0,29,1,1,0,0,0.003414599999814527,
alpha_0.1_123_8499c601,alpha_0.1,train,18,123,easy,5,5,0.1,0.95,0.18274497720251864,default,100,0.0,11,1,1,0,0,0.0011863999970955774,
alpha_0.1_123_8499c601,alpha_0.1,train,19,123,easy,5,5,0.1,0.95,0.18183125231650604,default,100,-33.0,44,1,1,0,0,0.0049254000005021226,
alpha_0.1_123_8499c601,alpha_0.1,train,20,123,easy,5,5,0.1,0.95,0.18092209605492351,default,100,-13.0,24,1,1,0,0,0.003119200002402067,
alpha_0.1_123_8499c601,alpha_0.1,train,21,123,easy,5,5,0.1,0.95,0.1800174855746489,default,100,-26.0,17,0,1,0,1,0.00210960000185878,
alpha_0.1_123_8499c601,alpha_0.1,train,22,123,easy,5,5,0.1,0.95,0.17911739814677563,default,100,-2.0,13,1,1,0,0,0.0019127999985357746,
alpha_0.1_123_8499c601,alpha_0.1,train,23,123,easy,5,5,0.1,0.95,0.17822181115604174,default,100,-20.0,11,0,1,0,1,0.0015160999973886646,
alpha_0.1_123_8499c601,alpha_0.1,train,24,123,easy,5,5,0.1,0.95,0.17733070210026153,default,100,-46.0,37,0,1,0,1,0.003469500003120629,
alpha_0.1_123_8499c601,alpha_0.1,train,25,123,easy,5,5,0.1,0.95,0.17644404858976023,default,100,-6.0,17,1,1,0,0,0.0016394999984186143,
alpha_0.1_123_8499c601,alpha_0.1,train,26,123,easy,5,5,0.1,0.95,0.17556182834681144,default,100,-18.0,29,1,1,0,0,0.004381300001114141,
alpha_0.1_123_8499c601,alpha_0.1,train,27,123,easy,5,5,0.1,0.95,0.1746840192050774,default,100,-4.0,15,1,1,0,0,0.006640600000537233,
alpha_0.1_123_8499c601,alpha_0.1,train,28,123,easy,5,5,0.1,0.95,0.173810599109052,default,100,-5.0,16,1,1,0,0,0.003619899998739129,
alpha_0.1_123_8499c601,alpha_0.1,train,29,123,easy,5,5,0.1,0.95,0.17294154611350673,default,100,-3.0,14,1,1,0,0,0.002696699997613905,
alpha_0.1_123_8499c601,alpha_0.1,train,30,123,easy,5,5,0.1,0.95,0.1720768383829392,default,100,-9.0,20,1,1,0,0,0.0037120000015420374,
alpha_0.1_123_8499c601,alpha_0.1,train,31,123,easy,5,5,0.1,0.95,0.1712164541910245,default,100,-5.0,16,1,1,0,0,0.002939000001788372,
alpha_0.1_123_8499c601,alpha_0.1,train,32,123,easy,5,5,0.1,0.95,0.17036037192006936,default,100,2.0,9,1,1,0,0,0.0015587000016239472,
alpha_0.1_123_8499c601,alpha_0.1,train,33,123,easy,5,5,0.1,0.95,0.16950857006046902,default,100,-11.0,22,1,1,0,0,0.0031984999986889306,
alpha_0.1_123_8499c601,alpha_0.1,train,34,123,easy,5,5,0.1,0.95,0.16866102721016668,default,100,-22.0,13,0,1,0,1,0.002185299999837298,
alpha_0.1_123_8499c601,alpha_0.1,train,35,123,easy,5,5,0.1,0.95,0.16781772207411585,default,100,-11.0,22,1,1,0,0,0.003197800000634743,
alpha_0.1_123_8499c601,alpha_0.1,train,36,123,easy,5,5,0.1,0.95,0.16697863346374528,default,100,2.0,9,1,1,0,0,0.0012068999967596028,
alpha_0.1_123_8499c601,alpha_0.1,train,37,123,easy,5,5,0.1,0.95,0.16614374029642656,default,100,-11.0,22,1,1,0,0,0.002582000000984408,
alpha_0.1_123_8499c601,alpha_0.1,train,38,123,easy,5,5,0.1,0.95,0.16531302159494443,default,100,-6.0,17,1,1,0,0,0.0017989000007219147,
alpha_0.1_123_8499c601,alpha_0.1,train,39,123,easy,5,5,0.1,0.95,0.16448645648696972,default,100,0.0,11,1,1,0,0,0.0021515000007639173,
alpha_0.1_123_8499c601,alpha_0.1,train,40,123,easy,5,5,0.1,0.95,0.16366402420453488,default,100,-3.0,14,1,1,0,0,0.0015189999976428226,
alpha_0.1_123_8499c601,alpha_0.1,train,41,123,easy,5,5,0.1,0.95,0.1628457040835122,default,100,-10.0,21,1,1,0,0,0.0024703000017325394,
alpha_0.1_123_8499c601,alpha_0.1,train,42,123,easy,5,5,0.1,0.95,0.16203147556309463,default,100,-2.0,13,1,1,0,0,0.0013690000014321413,
alpha_0.1_123_8499c601,alpha_0.1,train,43,123,easy,5,5,0.1,0.95,0.16122131818527916,default,100,-1.0,12,1,1,0,0,0.001236099997186102,
alpha_0.1_123_8499c601,alpha_0.1,train,44,123,easy,5,5,0.1,0.95,0.16041521159435276,default,100,-12.0,23,1,1,0,0,0.002662499999132706,
