run_id,exp_name,phase,episode,seed,map_name,rows,cols,alpha,gamma,epsilon,reward_setting,max_steps,total_reward,steps,success,terminated,truncated,hit_trap,elapsed_sec,qtable_path
gamma_0.99_789_9b7ea326,gamma_0.99,train,1,789,easy,5,5,0.1,0.99,0.199,default,100,-3.0,14,1,1,0,0,0.002274099999340251,
gamma_0.99_789_9b7ea326,gamma_0.99,train,2,789,easy,5,5,0.1,0.99,0.19800500000000001,default,100,-57.0,68,1,1,0,0,0.007583899991004728,
gamma_0.99_789_9b7ea326,gamma_0.99,train,3,789,easy,5,5,0.1,0.99,0.197014975,default,100,-27.0,18,0,1,0,1,0.0022118999913800508,
gamma_0.99_789_9b7ea326,gamma_0.99,train,4,789,easy,5,5,0.1,0.99,0.19602990012500002,default,100,-57.0,68,1,1,0,0,0.007423400005791336,
gamma_0.99_789_9b7ea326,gamma_0.99,train,5,789,easy,5,5,0.1,0.99,0.19504975062437502,default,100,-20.0,11,0,1,0,1,0.0014377000043168664,
gamma_0.99_789_9b7ea326,gamma_0.99,train,6,789,easy,5,5,0.1,0.99,0.19407450187125314,default,100,-100.0,100,0,0,1,0,0.011768600001232699,
gamma_0.99_789_9b7ea326,gamma_0.99,train,7,789,easy,5,5,0.1,0.99,0.19310412936189686,default,100,-59.0,70,1,1,0,0,0.008014599996386096,
gamma_0.99_789_9b7ea326,gamma_0.99,train,8,789,easy,5,5,0.1,0.99,0.19213860871508737,default,100,-49.0,40,0,1,0,1,0.004558399989036843,
gamma_0.99_789_9b7ea326,gamma_0.99,train,9,789,easy,5,5,0.1,0.99,0.19117791567151193,default,100,-44.0,35,0,1,0,1,0.0040280999965034425,
gamma_0.99_789_9b7ea326,gamma_0.99,train,10,789,easy,5,5,0.1,0.99,0.19022202609315436,default,100,-11.0,22,1,1,0,0,0.0023428000131389126,
gamma_0.99_789_9b7ea326,gamma_0.99,train,11,789,easy,5,5,0.1,0.99,0.18927091596268858,default,100,-45.0,56,1,1,0,0,0.00660950000747107,
gamma_0.99_789_9b7ea326,gamma_0.99,train,12,789,easy,5,5,0.1,0.99,0.18832456138287512,default,100,-33.0,44,1,1,0,0,0.005437700005131774,
gamma_0.99_789_9b7ea326,gamma_0.99,train,13,789,easy,5,5,0.1,0.99,0.18738293857596075,default,100,-17.0,28,1,1,0,0,0.0030608999950345606,
gamma_0.99_789_9b7ea326,gamma_0.99,train,14,789,easy,5,5,0.1,0.99,0.18644602388308096,default,100,-25.0,36,1,1,0,0,0.0041225000022677705,
gamma_0.99_789_9b7ea326,gamma_0.99,train,15,789,easy,5,5,0.1,0.99,0.18551379376366556,default,100,-16.0,27,1,1,0,0,0.003022200005943887,
gamma_0.99_789_9b7ea326,gamma_0.99,train,16,789,easy,5,5,0.1,0.99,0.18458622479484724,default,100,-54.0,45,0,1,0,1,0.005084500007797033,
gamma_0.99_789_9b7ea326,gamma_0.99,train,17,789,easy,5,5,0.1,0.99,0.183663293670873,default,100,-14.0,25,1,1,0,0,0.0028137999906903133,
gamma_0.99_789_9b7ea326,gamma_0.99,train,18,789,easy,5,5,0.1,0.99,0.18274497720251864,default,100,1.0,10,1,1,0,0,0.001295199996093288,
gamma_0.99_789_9b7ea326,gamma_0.99,train,19,789,easy,5,5,0.1,0.99,0.18183125231650604,default,100,-36.0,27,0,1,0,1,0.003224400003091432,
gamma_0.99_789_9b7ea326,gamma_0.99,train,20,789,easy,5,5,0.1,0.99,0.18092209605492351,default,100,-21.0,12,0,1,0,1,0.001563700003316626,
gamma_0.99_789_9b7ea326,gamma_0.99,train,21,789,easy,5,5,0.1,0.99,0.1800174855746489,default,100,-14.0,25,1,1,0,0,0.002866299997549504,
gamma_0.99_789_9b7ea326,gamma_0.99,train,22,789,easy,5,5,0.1,0.99,0.17911739814677563,default,100,-7.0,18,1,1,0,0,0.0021429000044008717,
gamma_0.99_789_9b7ea326,gamma_0.99,train,23,789,easy,5,5,0.1,0.99,0.17822181115604174,default,100,-13.0,24,1,1,0,0,0.00293210000381805,
gamma_0.99_789_9b7ea326,gamma_0.99,train,24,789,easy,5,5,0.1,0.99,0.17733070210026153,default,100,-8.0,19,1,1,0,0,0.0024203999928431585,
gamma_0.99_789_9b7ea326,gamma_0.99,train,25,789,easy,5,5,0.1,0.99,0.17644404858976023,default,100,-13.0,24,1,1,0,0,0.0028516000020317733,
gamma_0.99_789_9b7ea326,gamma_0.99,train,26,789,easy,5,5,0.1,0.99,0.17556182834681144,default,100,-19.0,10,0,1,0,1,0.001207799999974668,
