run_id,exp_name,phase,episode,seed,map_name,rows,cols,alpha,gamma,epsilon,reward_setting,max_steps,total_reward,steps,success,terminated,truncated,hit_trap,elapsed_sec,qtable_path
random_policy_1024_d494410e,random_policy,train,1,1024,easy,5,5,0.0001,0.95,1.0,default,100,-19.0,10,0,1,0,1,0.001306299993302673,
random_policy_1024_d494410e,random_policy,train,2,1024,easy,5,5,0.0001,0.95,1.0,default,100,-11.0,22,1,1,0,0,0.0016990000003715977,
random_policy_1024_d494410e,random_policy,train,3,1024,easy,5,5,0.0001,0.95,1.0,default,100,-22.0,13,0,1,0,1,0.0010188000014750287,
random_policy_1024_d494410e,random_policy,train,4,1024,easy,5,5,0.0001,0.95,1.0,default,100,-34.0,25,0,1,0,1,0.0018417999963276088,
random_policy_1024_d494410e,random_policy,train,5,1024,easy,5,5,0.0001,0.95,1.0,default,100,-105.0,96,0,1,0,1,0.006739299991750158,
random_policy_1024_d494410e,random_policy,train,6,1024,easy,5,5,0.0001,0.95,1.0,default,100,-17.0,8,0,1,0,1,0.0006752000044798478,
random_policy_1024_d494410e,random_policy,train,7,1024,easy,5,5,0.0001,0.95,1.0,default,100,-61.0,52,0,1,0,1,0.0037248000007821247,
random_policy_1024_d494410e,random_policy,train,8,1024,easy,5,5,0.0001,0.95,1.0,default,100,-95.0,86,0,1,0,1,0.006073900003684685,
random_policy_1024_d494410e,random_policy,train,9,1024,easy,5,5,0.0001,0.95,1.0,default,100,-33.0,44,1,1,0,0,0.0031416999991051853,
random_policy_1024_d494410e,random_policy,train,10,1024,easy,5,5,0.0001,0.95,1.0,default,100,-23.0,34,1,1,0,0,0.002454999994370155,
random_policy_1024_d494410e,random_policy,train,11,1024,easy,5,5,0.0001,0.95,1.0,default,100,-14.0,25,1,1,0,0,0.0018539000011514872,
random_policy_1024_d494410e,random_policy,train,12,1024,easy,5,5,0.0001,0.95,1.0,default,100,-10.0,21,1,1,0,0,0.001564999998663552,
random_policy_1024_d494410e,random_policy,train,13,1024,easy,5,5,0.0001,0.95,1.0,default,100,-71.0,82,1,1,0,0,0.005765900001279078,
random_policy_1024_d494410e,random_policy,train,14,1024,easy,5,5,0.0001,0.95,1.0,default,100,-77.0,68,0,1,0,1,0.0047980999952415004,
random_policy_1024_d494410e,random_policy,train,15,1024,easy,5,5,0.0001,0.95,1.0,default,100,-23.0,14,0,1,0,1,0.0010929999989457428,
random_policy_1024_d494410e,random_policy,train,16,1024,easy,5,5,0.0001,0.95,1.0,default,100,-29.0,40,1,1,0,0,0.002885900001274422,
random_policy_1024_d494410e,random_policy,train,17,1024,easy,5,5,0.0001,0.95,1.0,default,100,-40.0,31,0,1,0,1,0.0022661000111838803,
random_policy_1024_d494410e,random_policy,train,18,1024,easy,5,5,0.0001,0.95,1.0,default,100,-28.0,19,0,1,0,1,0.0014193999959388748,
random_policy_1024_d494410e,random_policy,train,19,1024,easy,5,5,0.0001,0.95,1.0,default,100,-23.0,14,0,1,0,1,0.0010845999931916595,
random_policy_1024_d494410e,random_policy,train,20,1024,easy,5,5,0.0001,0.95,1.0,default,100,-20.0,11,0,1,0,1,0.0008574999956181273,
random_policy_1024_d494410e,random_policy,train,21,1024,easy,5,5,0.0001,0.95,1.0,default,100,-27.0,18,0,1,0,1,0.001440399995772168,
random_policy_1024_d494410e,random_policy,train,22,1024,easy,5,5,0.0001,0.95,1.0,default,100,-34.0,25,0,1,0,1,0.0019189000013284385,
random_policy_1024_d494410e,random_policy,train,23,1024,easy,5,5,0.0001,0.95,1.0,default,100,-21.0,12,0,1,0,1,0.0009805000008782372,
random_policy_1024_d494410e,random_policy,train,24,1024,easy,5,5,0.0001,0.95,1.0,default,100,-24.0,15,0,1,0,1,0.0011559999984456226,
random_policy_1024_d494410e,random_policy,train,25,1024,easy,5,5,0.0001,0.95,1.0,default,100,-29.0,40,1,1,0,0,0.002886899994337,
random_policy_1024_d494410e,random_policy,train,26,1024,easy,5,5,0.0001,0.95,1.0,default,100,-30.0,41,1,1,0,0,0.0029971000039950013,
random_policy_1024_d494410e,random_policy,train,27,1024,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.00707910000346601,
random_policy_1024_d494410e,random_policy,train,28,1024,easy,5,5,0.0001,0.95,1.0,default,100,-47.0,38,0,1,0,1,0.0027781000098912045,
random_policy_1024_d494410e,random_policy,train,29,1024,easy,5,5,0.0001,0.95,1.0,default,100,-87.0,78,0,1,0,1,0.005531199989491142,
random_policy_1024_d494410e,random_policy,train,30,1024,easy,5,5,0.0001,0.95,1.0,default,100,-68.0,79,1,1,0,0,0.005601499986369163,
random_policy_1024_d494410e,random_policy,train,31,1024,easy,5,5,0.0001,0.95,1.0,default,100,-22.0,13,0,1,0,1,0.0010301000002073124,
random_policy_1024_d494410e,random_policy,train,32,1024,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007055299996864051,
random_policy_1024_d494410e,random_policy,train,33,1024,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007062899996526539,
random_policy_1024_d494410e,random_policy,train,34,1024,easy,5,5,0.0001,0.95,1.0,default,100,-41.0,32,0,1,0,1,0.0023459999938495457,
random_policy_1024_d494410e,random_policy,train,35,1024,easy,5,5,0.0001,0.95,1.0,default,100,-25.0,16,0,1,0,1,0.001227799992193468,
random_policy_1024_d494410e,random_policy,train,36,1024,easy,5,5,0.0001,0.95,1.0,default,100,-23.0,14,0,1,0,1,0.0010738000128185377,
random_policy_1024_d494410e,random_policy,train,37,1024,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007122499999240972,
random_policy_1024_d494410e,random_policy,train,38,1024,easy,5,5,0.0001,0.95,1.0,default,100,-30.0,21,0,1,0,1,0.0015749000012874603,
random_policy_1024_d494410e,random_policy,train,39,1024,easy,5,5,0.0001,0.95,1.0,default,100,-45.0,56,1,1,0,0,0.004030099997180514,
random_policy_1024_d494410e,random_policy,train,40,1024,easy,5,5,0.0001,0.95,1.0,default,100,-20.0,11,0,1,0,1,0.0008852000028127804,
random_policy_1024_d494410e,random_policy,train,41,1024,easy,5,5,0.0001,0.95,1.0,default,100,-100.0,100,0,0,1,0,0.007148400007281452,
random_policy_1024_d494410e,random_policy,train,42,1024,easy,5,5,0.0001,0.95,1.0,default,100,-94.0,85,0,1,0,1,0.006052900003851391,
